trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-67.20026816843973,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-68.9496023378693,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,9,-10.476864747790039,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,5,-43.64358846743874,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-69.44823573250746,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-58.89251864161481,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-8.54283557341073,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.90737021239339,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-55.869688605534535,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-13.129676723180808,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-128.06739590528082,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-98.01084015501132,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-119.21645528935139,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,7,-30.84798028492353,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-80.1133825684063,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-70.61314411028135,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-54.18294436139463,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,3,-66.40389343428863,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-38.87112007606212,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-112.7360314140183,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,7,21.556026500299136,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,8.872180689920963,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,13,33.73524658438796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,5.251358692621651,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,-18.838664462995464,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,19.71708400652742,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,15,10.058604890140675,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,10.036298059599751,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,15,22.56793411813907,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,9.907245117047403,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
