trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,0.4546072358053683,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,15,4.666390608823098,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.997}",30,0,15.753596741722685,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.996}",25,0,17.344914742385775,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,18.228387348567882,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994}",20,0,-11.33975254697618,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",25,0,3.5362707057843075,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,0,6.4206692126188925,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,2,23.50269868868811,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.99}",20,0,17.316890440675696,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.989}",20,0,7.663456500120458,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.988}",30,15,3.243781355466682,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.987}",20,13,4.310507103285913,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.986}",20,0,3.4470038381801698,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-5.873299958441289,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,14,11.949179567097902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.983}",30,0,-14.827491076537008,"{0: 22, 1: 8, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,9,8.050098823071245,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.981}",25,2,23.65600550952791,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.98}",25,0,27.549196422090912,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,0,2.837469364919024,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.978}",25,0,25.423881262853275,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.977}",30,0,-14.113645938617763,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.976}",20,0,-0.985426984226973,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.975}",30,0,25.312244737171234,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.974}",25,0,14.08615013532188,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,0,9.571746468148552,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.972}",25,0,17.67648920299868,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,6.254262084964798,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.97}",25,0,15.43145325728782,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.969}",20,0,-1.4109806192267675,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.968}",30,0,-16.676058613273312,"{0: 23, 1: 7, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.967}",25,0,0.744155534113282,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,0,-0.9823036237583019,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.965}",20,0,7.626845942520445,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.964}",20,0,5.486251352624893,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.963}",30,0,0.274254904813922,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.962}",30,0,18.393533444083268,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.961}",20,6,27.501597929117647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.96}",25,0,21.196260055875836,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.959}",30,0,-0.47324219058491823,"{0: 24, 1: 6, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.958}",25,0,19.952651868203958,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
