trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.73812451743893,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.57422218954694,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.94388448175232,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.76979291667874,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.22870373022326,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.1772259861203,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,4,-108.44215794282967,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-142.0517636349048,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.463105351784,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.86259149148951,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-61.470306605325426,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.59949323220931,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.49875477531652,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-177.17030032995072,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.48963482290162,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.00129940614957,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.25478198140031,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.932681896654074,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.20098290045446,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.7206710004042,"{0: 15, 1: 3, 2: 10, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.12386548305102,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-212.21092356627554,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,16,-9.405631850806296,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.90203797088316,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.631337425014905,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.17191386762471,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.91641778141802,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.02461159004271,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.15813085045409,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-235.18058958790465,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
